Title,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23 (RE),2023-24 (BE)
Agriculture and allied Activities,2011.92,2295.14,2519.4,2734.71,3392.03,3201.01,4205.56,4790.92,6031.66,7035.97
Rural Development,1843.44,1850.67,2892.08,2980.84,3417.6,3956.62,4498.67,1985.44,3417.88,6087.79
Irrigation and Flood Control,1159.14,1405.38,1411.72,1463.09,1470.54,1492,1574.44,2044.79,2706.58,3097.63
Energy,5244.67,10219.92,10514.98,7631.52,7447.42,7015.3,5788.32,7130.3,7179.76,7671.82
Industries and Mineral,145.69,94.78,349.8,317.7,402.78,392.19,390.6,457.21,852.42,1834.24
Transport,2567,2595.18,2819.84,2902.44,2791.38,3078.58,2442.29,2935.81,3513.86,4533.2
"Science, Technology & Environment",21.65,33.54,26.69,26.53,30.89,24.98,31.83,20.35,45.02,76.91
General Economic Services,94.49,195.75,340.71,50,68.94,77.1,116.76,184.63,147.79,161.49
