Title,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23 (RE),2023-24 (BE)
Revenue Expenditure ,49117.88 ,59235.7 ,68403.43 ,73257.36 ,77155.54 ,84848.21 ,89946.6 ,98425.03 ,115007.54 ,126071.45 
Capital Expenditure ,3715.53 ,6908.33 ,6863.1 ,13537.91 ,15306.6 ,17665.93 ,5869.7 ,11045.56 ,14645.62 ,18460.23 
Repayment of Public Debt ,8227.41 ,7214.68 ,5275.84 ,6338.85 ,17183.87 ,15775.51 ,29497.6 ,25472.96 ,32335.63 ,35220.37 
Loans and Advances Extended ,842.87 ,13250.3 ,4514.91 ,1394.89 ,755.65 ,1309.25 ,925.7 ,966.26 ,2819.05 ,4197.91 
