Title,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23 (RE),2023-24 (BE),Average (%)
Revenue Expenditure,49117.88,59235.7,68403.43,73257.36,77155.54,84848.21,89946.6,98425.03,115007.54,126071.45,72.84299999999999
CapitalExpenditure+DebtRepayment+LoansAndAdvancesExtended,12785.81,27373.31,16653.85,21271.65,33246.12,34750.69,36293.0,37484.78,49800.3,57878.51,27.147000000000002
Total,61903.689999999995,86609.01,85057.28,94529.01000000001,110401.66,119598.90000000001,126239.6,135909.81,164807.84,183949.96,99.99
