Title,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23 (RE),2023-24 (BE),Average (%)
Agriculture and allied Activities,15.37,12.27,12.06,15.1,17.83,16.63,22.07,24.5,25.24,23.06,18.413
Rural Development,14.08,9.9,13.85,16.46,17.96,20.56,23.61,10.15,14.3,19.96,16.083000000000002
Irrigation and Flood Control,8.85,7.51,6.76,8.08,7.73,7.75,8.26,10.45,11.32,10.15,8.685999999999998
Energy,40.07,54.68,50.37,42.14,39.15,36.46,30.38,36.47,30.04,25.15,38.491
Industries and Mineral,1.11,0.5,1.67,1.75,2.11,2.03,2.05,2.33,3.56,6.01,2.312
Transport,19.61,13.88,13.5,16.02,14.67,16.0,12.82,15.01,14.7,14.86,15.107
"Science, Technology & Environment",0.16,0.17,0.12,0.14,0.16,0.12,0.16,0.1,0.18,0.25,0.156
General Economic Services,0.72,1.04,1.63,0.27,0.36,0.4,0.61,0.94,0.61,0.52,0.7100000000000002
