Title,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23 (RE),2023-24 (BE),Average (%)
Revenue Expenditure ,49117.88,59235.7,68403.43,73257.36,77155.54,84848.21,89946.6,98425.03,115007.54,126071.45,72.84299999999999
Capital Expenditure ,3715.53,6908.33,6863.1,13537.91,15306.6,17665.93,5869.7,11045.56,14645.62,18460.23,9.665000000000001
Repayment of Public Debt ,8227.41,7214.68,5275.84,6338.85,17183.87,15775.51,29497.6,25472.96,32335.63,35220.37,14.413
Loans and Advances Extended ,842.87,13250.3,4514.91,1394.89,755.65,1309.25,925.7,966.26,2819.05,4197.91,3.0620000000000003
Total,61903.689999999995,86609.01,85057.28,94529.01000000001,110401.65999999999,119598.90000000001,126239.59999999999,135909.81,164807.83999999997,183949.96,99.98299999999999
