Title,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23 (RE),2023-24 (BE),Average (%)
General Services,16764.73,18713.33,21630.79,26698.67,28168.97,31883.95,34734.16,37947.91,44416.28,46244.79,36.10600000000001
Social Services,19120.56,21538.87,25473.49,28061.34,29743.19,33726.48,36163.96,40927.67,46696.29,49327.62,39.146
Economic Services,13088.0,18690.36,20875.21,18106.82,19021.58,19237.78,19048.47,19549.46,23894.97,30499.05,24.734000000000005
Total,48973.29,58942.56,67979.48999999999,72866.82999999999,76933.74,84848.21,89946.59,98425.04000000001,115007.54000000001,126071.46,99.98600000000002
